alacritty 0.8.0-1
xorg-xvinfo 1.1.4-2
xorg-xwayland 21.1.2-1
xorg-xwd 1.0.7-2
xorg-xwininfo 1.1.5-2
xorg-xwud 1.0.5-2
xterm 368-1
xwinwrap-git r5.ec32e9b-1
yay 10.3.0-1
youtube-dl 2021.06.06-1
zam-plugins 3.14-1
zip 3.0-9
zplug 2.4.2-1
zsh 5.8-1
zsh-autosuggestions 0.7.0-1
zsh-completions 0.33.0-1
zsh-history-substring-search 1.0.2-1
zsh-syntax-highlighting 0.7.1-1
